#RPLIDAR SCAN DATA
#COUNT=53833
#Angule	Distance	Quality
214.5938 672.0 47
215.3281 676.0 47
215.9375 679.0 47
216.5625 683.0 47
217.0313 688.0 47
217.6406 691.0 47
218.3750 693.0 47
219.0000 698.0 47
219.6094 703.0 47
219.9688 706.0 47
220.5781 710.0 47
221.3125 714.0 47
221.7969 719.0 47
222.4063 723.0 47
223.1406 729.0 47
223.6250 735.0 47
224.3594 740.0 47
224.8438 745.0 47
225.4531 753.0 47
226.0625 755.0 47
226.5469 761.0 47
227.1563 768.0 47
227.7656 774.0 47
228.3906 781.0 47
229.0000 787.0 47
229.6094 795.0 47
230.2188 803.0 47
230.8281 808.0 47
231.3281 817.0 47
232.0469 825.0 47
232.6563 833.0 47
233.1406 838.0 47
233.8750 846.0 47
234.3594 857.0 47
234.9688 866.0 47
235.4531 874.0 47
236.0625 884.0 47
236.6719 892.0 47
237.2813 903.0 47
237.9063 914.0 47
238.5156 926.0 47
239.1250 935.0 47
239.7344 946.0 47
240.3438 959.0 47
240.9531 970.0 47
241.4375 983.0 47
242.0469 998.0 47
242.6563 1011.0 47
243.2813 1026.0 47
243.8750 1039.0 47
244.4844 1055.0 47
244.9688 1072.0 47
245.5781 1085.0 47
246.1875 1103.0 47
246.7969 1124.0 47
247.4063 1138.0 47
248.0156 1157.0 47
248.5000 1181.0 47
249.1094 1200.0 47
249.7188 1221.0 47
250.3281 1239.0 47
250.9375 1269.0 47
251.4219 1291.0 47
252.0313 1320.0 47
252.7656 1325.0 47
253.2500 1311.0 47
253.8594 1304.0 47
254.4688 1427.0 47
254.9531 1456.0 47
255.5625 1492.0 47
256.1719 1520.0 47
256.7969 1556.0 47
257.3906 1594.0 47
258.0000 1639.0 47
258.4844 1683.0 47
259.0781 1728.0 47
259.6875 1781.0 47
260.2969 1827.0 47
260.7813 1886.0 47
261.3750 1934.0 47
261.9844 1998.0 47
262.5938 2063.0 47
263.1875 2135.0 47
263.7969 2216.0 47
264.4063 2289.0 47
265.0156 2377.0 47
266.7031 2690.0 47
267.2969 2541.0 47
267.9063 2456.0 47
268.5156 2406.0 47
269.1250 2395.0 47
269.7188 2418.0 47
270.3281 2407.0 47
270.9375 2367.0 47
